utility_type,given_flat_id,year_month,opening_reading,closing_reading,monthly_reading,opening_timestamp,closing_timestamp,computed_at
Electricity,Argentum901-D,2026-02,20621.43,21036.82,415.39,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,ArgentumG04-D,2026-02,9611.98,9804.2,192.22,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Pearl1304-E,2026-02,171201,172789,1588,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Pearl1408-E,2026-02,89844,90688,844,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Turquoise908,2026-02,17816.51,17957.52,141.01,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Turquoise1406,2026-02,28814.48,29129.28,314.8,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Jade108,2026-02,5.04,8.97,3.93,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Jade208,2026-02,4480.25,4487.04,6.79,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Jade1903,2026-02,21849.28,22068.54,219.26,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Jade1305,2026-02,562978,571311,8333,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Jade1603,2026-02,842151,843064,913,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Aquamarine603,2026-02,987298,1002334,15036,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Aquamarine1703,2026-02,36924,39598,2674,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Aquamarine1903,2026-02,42,42,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Ruby1710,2026-02,15171.38,15393.07,221.69,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Pearl309-E,2026-02,38.65,41.67,3.02,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Pearl903-E,2026-02,196.41,197.25,0.84,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Crystal1204-F,2026-02,0,0,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Crystal907-F,2026-02,17010.84,17116.31,105.47,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Crystal1706-F,2026-02,23195.05,23579.37,384.32,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Turquoise1602,2026-02,3375,3398,23,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Opal1209,2026-02,35.22,38.59,3.37,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Opal1805,2026-02,137.06,143.86,6.8,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Argentum409-D,2026-02,293707,294607,900,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Aurum1009,2026-02,54874,55008,134,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Aquamarine103,2026-02,6907.82,0,-6907.82,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Aquamarine403,2026-02,14159.7,0,-14159.7,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Ruby109,2026-02,4636.9,4746.18,109.28,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Aquamarine1107,2026-02,83.54,83.54,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Argentum803-D,2026-02,21192.64,21233.04,40.4,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Argentum1204-D,2026-02,0,0,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Argentum708-D,2026-02,13027.9,13100.61,72.71,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Turquoise1509,2026-02,8127.22,8456.57,329.35,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Opal1909,2026-02,11891.37,12108.89,217.52,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Jade1102,2026-02,456867,459294,2427,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Jade1106,2026-02,905789,905789,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Jade805,2026-02,634219,641329,7110,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Amethyst1109,2026-02,570910,579979,9069,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Ruby705,2026-02,501733,511207,9474,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Pearl1909-E,2026-02,0,0,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Pearl1110-E,2026-02,19.72,22.74,3.02,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Pearl403-E,2026-02,192.87,195.25,2.38,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Opal1206,2026-02,84.2,92.03,7.83,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Amethyst608,2026-02,205.86,210.71,4.85,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Opal602,2026-02,34828,35680,852,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Gas,Platinum1605,2026-02,54081,54081,0,02-02-2026 00:00,02-02-2026 00:00,05-03-2026 13:18
Electricity,Amethyst1001,2026-02,7866.54,7973.79,107.25,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Amethyst605,2026-02,13379.64,13604.24,224.6,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Amethyst1601,2026-02,17548.17,18068.56,520.39,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Jade705,2026-02,433.31,457.02,23.71,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Amethyst1502,2026-02,393732,404109,10377,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Aquamarine903,2026-02,5586.23,5691.69,105.46,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Aurum707,2026-02,380.13,382.85,2.72,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Aurum502,2026-02,278.71,280.85,2.14,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Crystal1210-F,2026-02,0,0,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Turquoise303,2026-02,86.23,89.8,3.57,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Aquamarine1401,2026-02,65.2,71.6,6.4,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Aquamarine1809,2026-02,73.77,80.31,6.54,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Crystal410-F,2026-02,11.89,11.91,0.02,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Argentum1201-D,2026-02,0,0,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Argentum1808-D,2026-02,34637.16,34822.18,185.02,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Pearl1707-E,2026-02,781153,787198,6045,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Jade502,2026-02,899719,914588,14869,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Jade104,2026-02,0,0,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Argentum1906-D,2026-02,38.78,38.79,0.01,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Ruby802,2026-02,6848.35,6960.25,111.9,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Pearl307-E,2026-02,132.01,138.7,6.69,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Pearl1310-E,2026-02,35.95,42.78,6.83,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Turquoise1708,2026-02,540332,545636,5304,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Amethyst1110,2026-02,197.95,208.15,10.2,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Opal1202,2026-02,431798,440988,9190,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Opal1510,2026-02,478647,498433,19786,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Gas,Platinum101,2026-02,84696,84696,0,02-02-2026 00:00,02-02-2026 00:00,05-03-2026 13:18
Electricity,Amethyst1507,2026-02,17494.29,17580.13,85.84,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Amethyst1907,2026-02,12360.23,12617.1,256.87,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Ruby1708,2026-02,14.06,14.61,0.55,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Ruby501,2026-02,11176,17536,6360,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Crystal1309-F,2026-02,0,0,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Turquoise406,2026-02,126.42,129.06,2.64,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Argentum508-D,2026-02,34445.35,34624.19,178.84,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Argentum1608-D,2026-02,6975.61,7080.89,105.28,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Argentum905-D,2026-02,95.53,99.88,4.35,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Argentum509-D,2026-02,32.46,35.53,3.07,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Argentum1401-D,2026-02,0,0,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Jade602,2026-02,182.69,183.58,0.89,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Pearl1709-E,2026-02,167.85,175.64,7.79,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Pearl1210-E,2026-02,23.98,26.91,2.93,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,CrystalG10-F,2026-02,43107.05,43478.88,371.83,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Crystal1503-F,2026-02,27932.6,28065.77,133.17,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Crystal409-F,2026-02,106735,107574,839,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Turquoise1905,2026-02,801399,814692,13293,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Opal807,2026-02,73.8,77.75,3.95,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Opal1104,2026-02,53.16,57.59,4.43,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Aurum1607,2026-02,340085,357475,17390,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Gas,Platinum1402,2026-02,88447,88447,0,02-02-2026 00:00,02-02-2026 00:00,05-03-2026 13:18
Electricity,Jade1802,2026-02,20967.48,21188.15,220.67,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Jade1606,2026-02,24525.58,24726.88,201.3,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,AmethystG04,2026-02,110.91,110.91,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Ruby1801,2026-02,51.3,54.51,3.21,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Aquamarine1301,2026-02,12820.54,13049.59,229.05,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Ruby508,2026-02,9314,9506.5,192.5,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Aquamarine1504,2026-02,44.43,46.36,1.93,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Aquamarine1607,2026-02,99.5,103.16,3.66,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Turquoise505,2026-02,6328.57,6546.62,218.05,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Argentum606-D,2026-02,3.77,6.38,2.61,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,AmethystG05,2026-02,295730,319842,24112,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Ruby505,2026-02,3914.67,4101.16,186.49,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Ruby708,2026-02,327514,351250,23736,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Pearl1605-E,2026-02,30260.54,30526.63,266.09,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Crystal1309-F,2026-02,0,0,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Turquoise405,2026-02,1212948,1229969,17021,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Pearl106-E,2026-02,8364.17,8631.03,266.86,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Argentum908-D,2026-02,686869,698862,11993,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Amethyst1901,2026-02,96.17,101.88,5.71,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Amethyst1106,2026-02,97.36,101.02,3.66,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Amethyst1510,2026-02,55.64,62.15,6.51,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Amethyst1101,2026-02,18484.43,18630.32,145.89,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Ruby310,2026-02,19.78,21.93,2.15,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Aquamarine301,2026-02,13824.45,0,-13824.45,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Aquamarine1708,2026-02,10745.6,10764.11,18.51,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Ruby201,2026-02,76025,86590,10565,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Aurum1006,2026-02,711.31,720.63,9.32,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Aurum1110,2026-02,265.63,267.01,1.38,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Aurum1408,2026-02,515.03,517.38,2.35,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Crystal604-F,2026-02,127.42,132.25,4.83,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Crystal1506-F,2026-02,253.85,257.36,3.51,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Crystal1606-F,2026-02,0,0,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Turquoise1403,2026-02,141.1,144.8,3.7,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Aquamarine705,2026-02,80.69,81.17,0.48,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Aquamarine1705,2026-02,73.76,79.01,5.25,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Argentum406-D,2026-02,5191.48,5341.71,150.23,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Pearl303-E,2026-02,718004,756060,38056,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Opal1201,2026-02,14525.31,14773.81,248.5,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Opal1809,2026-02,14198.57,14514.78,316.21,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Aquamarine1203,2026-02,353821,363014,9193,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Jade609,2026-02,1008615,1013185,4570,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Ruby204,2026-02,5958.26,6084.85,126.59,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Pearl407-E,2026-02,31088.49,31294.65,206.16,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Pearl1304-E,2026-02,4442.32,4501.07,58.75,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Pearl110-E,2026-02,16883.79,17123.3,239.51,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Turquoise1504,2026-02,751213,751213,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Turquoise1406,2026-02,1270504,1292179,21675,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Turquoise209,2026-02,6,6,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Turquoise308,2026-02,636755,653318,16563,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Aurum804,2026-02,40442,40442,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Gas,Platinum207,2026-02,125748,125748,0,02-02-2026 00:00,02-02-2026 00:00,05-03-2026 13:18
Gas,Platinum1804,2026-02,60254,60254,0,02-02-2026 00:00,02-02-2026 00:00,05-03-2026 13:18
Gas,Platinum801,2026-02,103769,103769,0,02-02-2026 00:00,02-02-2026 00:00,05-03-2026 13:18
Electricity,Amethyst506,2026-02,11204.96,11331.57,126.61,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,RubyG04,2026-02,7.17,13.04,5.87,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Aquamarine1905,2026-02,27951.98,28321.44,369.46,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Aquamarine608,2026-02,9610.03,9713.13,103.1,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Ruby1309,2026-02,4646.44,4806.6,160.16,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Ruby906,2026-02,89644,96714,7070,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Ruby1802,2026-02,414394,425487,11093,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Aurum1706,2026-02,17.98,21.35,3.37,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Crystal607-F,2026-02,213.94,218.22,4.28,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Aurum1009,2026-02,386.36,387.43,1.07,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Argentum808-D,2026-02,911.46,1031.97,120.51,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Argentum610-D,2026-02,7559.01,7651.36,92.35,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Pearl1103-E,2026-02,993338,993366,28,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Turquoise1403,2026-02,14454.7,14575.1,120.4,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Turquoise1802,2026-02,19158.08,19354.82,196.74,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Jade1704,2026-02,21983.91,22169.39,185.48,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Aquamarine1605,2026-02,940690,949180,8490,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Jade803,2026-02,1260465,1269853,9388,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Jade1905,2026-02,16217,23446,7229,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Ruby1510,2026-02,8252.85,8499.79,246.94,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Ruby901,2026-02,164852,171889,7037,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Ruby1102,2026-02,241041,257263,16222,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,PearlG09-E,2026-02,328.76,336.09,7.33,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Pearl907-E,2026-02,300.62,311.03,10.41,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Crystal801-F,2026-02,44443,45312,869,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Opal903,2026-02,93.5,97.34,3.84,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Opal309,2026-02,75.82,79.64,3.82,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Argentum309-D,2026-02,477167,490472,13305,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Opal1610,2026-02,81599,94982,13383,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Opal1704,2026-02,369985,379049,9064,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Ruby1206,2026-02,77.77,87.03,9.26,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Ruby204,2026-02,35.84,36.98,1.14,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Aquamarine1003,2026-02,7750.57,7867.13,116.56,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Aquamarine1705,2026-02,13193,13336.48,143.48,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Aurum608,2026-02,358.85,359.33,0.48,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Crystal204-F,2026-02,217.94,218.89,0.95,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Argentum801-D,2026-02,1621.12,1725.11,103.99,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Argentum103-D,2026-02,0,0,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Argentum1109-D,2026-02,7502.6,7723.28,220.68,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Opal306,2026-02,12753.48,12971.89,218.41,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Argentum1208-D,2026-02,0,0,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Argentum1807-D,2026-02,177.53,183.28,5.75,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Jade407,2026-02,313.72,323.5,9.78,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Jade309,2026-02,271.26,278.16,6.9,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Amethyst1110,2026-02,675131,695570,20439,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Crystal209-F,2026-02,14941,15208.67,267.67,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Crystal701-F,2026-02,24246.72,24368.48,121.76,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Crystal1909-F,2026-02,107574,108796,1222,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Crystal302-F,2026-02,149958,172461,22503,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Opal1007,2026-02,1.51,7.9,6.39,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Opal706,2026-02,56,56,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Gas,Platinum910,2026-02,78059,78059,0,02-02-2026 00:00,02-02-2026 00:00,05-03-2026 13:18
Electricity,Amethyst510,2026-02,17531.33,17710.6,179.27,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Ruby402,2026-02,43.66,45.84,2.18,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Ruby1101,2026-02,62.52,65.19,2.67,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,AquamarineG06,2026-02,18931.63,0,-18931.63,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Aurum1203,2026-02,599.52,599.93,0.41,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Turquoise304,2026-02,160.54,164.1,3.56,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Aquamarine405,2026-02,113.19,0,-113.19,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Argentum1105-D,2026-02,17715.7,18051.42,335.72,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Turquoise1908,2026-02,22168.7,22351.98,183.28,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Turquoise307,2026-02,23891.52,24001.83,110.31,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Argentum1507-D,2026-02,0,0,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Jade601,2026-02,755928,766898,10970,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Pearl609-E,2026-02,202.51,204.17,1.66,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Crystal307-F,2026-02,5938.87,6124.52,185.65,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Turquoise1105,2026-02,876904,876904,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Turquoise1304,2026-02,1129511,1136031,6520,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Turquoise1010,2026-02,960583,971123,10540,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Opal505,2026-02,90.23,93.28,3.05,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Turquoise1906,2026-02,1034793,1051518,16725,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,ArgentumG06-D,2026-02,996940,5339,-991601,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,OpalG07,2026-02,542067,542067,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Amethyst607,2026-02,12117.49,12286.81,169.32,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Amethyst109,2026-02,11737,11883.12,146.12,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Aurum1010,2026-02,106.58,108.46,1.88,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Aquamarine410,2026-02,51.96,0,-51.96,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Argentum1905-D,2026-02,3377.74,4081.37,703.63,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Pearl803-E,2026-02,0,0,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Opal1609,2026-02,12143.29,12319.49,176.2,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
